gene,chromosome,oe_lof_upper,pLI,mis_z
LSM12,17,0.271,0.97211,1.885
MCMBP,10,0.271,0.99565,1.9839
MYO16,13,0.272,0.99851,1.0261
ADCY1,7,0.272,0.99747,4.3801
DCAF15,19,0.272,0.9942,2.2685
FRYL,4,0.272,0.99727,2.9587
RPL15,3,0.272,0.97146,1.8348
COPS6,7,0.272,0.98666,2.3077
PKNOX2,11,0.272,0.99174,1.6325
RBPMS,8,0.272,0.97173,1.7155
RPS10,6,0.273,0.97108,1.2401
TCF7L2,10,0.273,0.99537,2.3994
ATAD2,8,0.273,0.9982,1.6583
SPRY2,13,0.273,0.97126,0.97396
PLXNC1,12,0.273,0.99811,3.9843
SLC4A4,4,0.273,0.99722,3.144
OMG,17,0.273,0.97114,1.3163
GMDS,6,0.273,0.99132,1.819
TAF7L,X,0.273,0.98636,0.14419
BANP,16,0.273,0.99388,2.4265
CDC27,17,0.273,0.99675,3.1977
RFX1,19,0.273,0.99724,2.6928
DPYSL2,8,0.274,0.99375,3.8756
SPIN1,9,0.274,0.97049,3.2539
PPP1CA,11,0.274,0.98588,3.2607
TAOK1,17,0.274,0.99787,4.8186
FBXO42,1,0.274,0.99503,2.0948
FBXO45,3,0.274,0.97063,2.3396
KCNH2,7,0.274,0.99593,3.3724
LMX1A,1,0.274,0.99114,1.0017
OGDH,7,0.274,0.99728,4.7595
SLTM,15,0.274,0.99785,2.5265
FMN2,1,0.274,0.99772,0.31819
ADD2,2,0.274,0.9961,2.0977
KCNN2,5,0.274,0.99099,2.2857
VWC2,7,0.274,0.97088,1.6745
ERP44,9,0.274,0.99106,2.2851
IQGAP1,15,0.275,0.99754,2.4441
QRICH1,3,0.275,0.99576,3.7104
SSRP1,11,0.275,0.99585,4.0388
EIF3G,19,0.275,0.98546,2.1722
RQCD1,2,0.275,0.98565,3.2774
FAM193B,5,0.275,0.9933,0.83143
DAPK1,9,0.275,0.99767,2.5678
AFF2,X,0.275,0.99577,1.4119
TARDBP,1,0.275,0.98542,3.7095
ADAM23,2,0.275,0.99709,1.8992
MTMR12,5,0.275,0.99638,2.2957
NR0B1,X,0.275,0.97025,1.0824
PTK7,6,0.275,0.99721,2.2407
ZNF770,15,0.275,0.99077,0.8413
FHL1,X,0.276,0.96979,0.88988
RPS3A,4,0.276,0.97002,2.2263
PSMB1,6,0.276,0.96996,0.87488
NASP,1,0.276,0.99553,0.6057
ARID3A,19,0.276,0.99065,1.2683
RBM15,1,0.276,0.99474,1.7679
GNA12,7,0.276,0.96994,2.093
ARHGAP26,5,0.276,0.99661,2.1135
DCUN1D1,3,0.276,0.98526,1.981
KDM1A,1,0.276,0.99667,4.6784
KCNMA1,10,0.276,0.99731,5.0622
XPOT,12,0.276,0.99711,2.0457
SETD8,12,0.276,0.98528,2.0241
INTS2,17,0.277,0.99698,2.2635
AC005358.1,17,0.277,0.99303,0.5567
GRHL3,1,0.277,0.99292,1.4216
PRR14L,22,0.277,0.99705,2.4682
BAP1,3,0.277,0.99443,2.6442
PSPC1,13,0.277,0.99013,2.5252
ARNTL,11,0.277,0.99444,2.9244
ZFHX2,14,0.277,0.99711,2.9515
GTF2A1,14,0.277,0.99038,2.1324
CEP170B,14,0.277,0.99671,0.87788
HAS2,8,0.277,0.99013,2.7881
PDZD2,5,0.277,0.99694,1.6926
PRICKLE2,3,0.277,0.99544,1.7224
RAB7A,3,0.277,0.96933,2.2805
SIK2,11,0.277,0.99651,2.5517
FAM196B,5,0.278,0.98467,1.711
TESK1,9,0.278,0.99255,1.606
CTBP1,4,0.278,0.98442,3.3093
AGFG1,2,0.278,0.99276,1.6605
SART3,12,0.278,0.99661,0.80565
PSMA3,14,0.278,0.98462,1.7604
SLC39A10,2,0.278,0.9927,1.954
ATP6V0B,1,0.278,0.96895,1.8134
SSH2,17,0.278,0.99684,1.9533
FOXJ1,17,0.278,0.96901,0.69948
ZNF710,15,0.278,0.99003,2.4158
FYN,6,0.278,0.99406,4.0323
CNP,17,0.279,0.98405,2.4302
PACS2,14,0.279,0.99583,2.2358
RAPGEF6,5,0.279,0.99644,1.5586
CLCN5,X,0.279,0.99242,2.5341
PIK3C2B,1,0.279,0.99651,2.5455
ARNT,1,0.279,0.99581,2.2412
TLN2,15,0.279,0.99231,1.4106
NRIP1,21,0.279,0.99394,-0.45989
RYR3,15,0.279,0.70566,1.8352
KCND3,1,0.279,0.98972,3.8545
LRCH1,13,0.279,0.99552,1.388
PTPN4,2,0.279,0.99663,2.6495
ZNF182,X,0.279,0.98405,1.5727
ASB7,15,0.28,0.98395,3.273
YEATS2,3,0.28,0.99639,0.97161
STRN4,19,0.28,0.99376,2.2868
CUL9,6,0.28,0.99191,3.0964
NAA15,4,0.28,0.99578,3.8085
DCAF8,1,0.28,0.99521,2.8028
EML1,14,0.28,0.99608,2.4519
RBBP7,X,0.28,0.98393,2.7889
FLI1,11,0.28,0.9894,2.4029
TMEM185B,2,0.28,0.96815,1.7104
ADAM17,2,0.28,0.99528,2.451
DENND4A,15,0.28,0.99627,3.6746
IVNS1ABP,1,0.281,0.99442,2.8851
FIGN,2,0.281,0.98917,1.1578
MICAL3,22,0.281,0.99499,1.7451
CRMP1,4,0.281,0.99173,2.4123
AHCYL1,1,0.281,0.99429,4.0174
KCNA4,11,0.281,0.98327,2.0263
TBX3,12,0.281,0.98907,1.7339
SLC1A3,5,0.281,0.98914,1.7866
EHD1,11,0.281,0.98342,2.0984
PLCG2,16,0.281,0.99562,0.81508
CDK6,7,0.282,0.98315,3.0596
COL12A1,6,0.282,0.97361,2.106
USP10,16,0.282,0.99411,-0.67408
BCL11B,14,0.282,0.98881,4.7118
DBF4,7,0.282,0.99296,0.97907
MFN2,1,0.282,0.99415,1.6575
RIBC1,X,0.282,0.983,1.0128
PLS3,X,0.283,0.98844,2.7103
ARIH2,3,0.283,0.99374,3.5771
PYGO2,1,0.283,0.96676,1.1013
DCC,18,0.283,0.99448,0.37229
CDC42BPA,1,0.283,0.99309,2.3876
LASP1,17,0.283,0.9827,2.2064
DIAPH2,X,0.283,0.99443,1.8331
SP4,7,0.283,0.99288,0.39538
KIAA1429,8,0.283,0.99438,2.7711
FZD5,2,0.283,0.98255,2.9966
SHE,1,0.283,0.9885,0.7716
RND3,2,0.283,0.96682,1.6466
ATF2,2,0.283,0.99131,2.3537
DDX1,2,0.284,0.99449,1.8179
LEPR,1,0.284,0.99475,1.422
CLUH,17,0.284,0.99474,1.8383
PPP6R3,11,0.284,0.99487,1.5409
ST18,8,0.284,0.99459,0.24589
RPL18,19,0.284,0.96644,1.8532
MAP4K5,14,0.284,0.99469,2.0578
RAC2,22,0.284,0.96627,2.592
PSMA1,11,0.284,0.98251,1.8895
PSMA2,7,0.284,0.98234,2.2579
PTP4A2,1,0.284,0.96626,2.0677
PTCHD1,X,0.284,0.98224,2.004
AMD1,6,0.284,0.98227,2.2444
AF196779.12,X,0.284,0.96638,2.0044
BRINP1,9,0.284,0.99251,1.4192
PUM2,2,0.284,0.99492,2.5887
ERBB2IP,5,0.285,0.99402,0.89229
PLXNB2,22,0.285,0.99234,3.3625
TSHZ3,19,0.285,0.99053,1.8339
PSAP,10,0.285,0.99051,-0.52458
SP8,7,0.285,0.9658,1.6871
CBX4,17,0.285,0.98196,2.2194
C9orf172,9,0.285,0.98777,2.8031
CHUK,10,0.285,0.99403,2.7816
GRM4,6,0.285,0.99307,2.6835
DPF1,19,0.285,0.99049,3.0732
GTF3C2,2,0.285,0.9944,2.2852
RAB11FIP4,17,0.285,0.99199,2.4923
E2F7,12,0.285,0.99317,1.6261
NISCH,3,0.285,0.99443,2.2993
ZCCHC2,18,0.285,0.99376,0.44683
EIF5,14,0.285,0.98758,1.5562
RIMS1,6,0.285,0.9902,2.0083
SENP1,12,0.285,0.99358,1.9961
GRIK5,19,0.285,0.99425,3.3634
IRAK1,X,0.285,0.98774,1.9888
KIF5B,10,0.285,0.99427,3.056
ZFP36L2,2,0.285,0.966,-1.8391
GALNT13,2,0.285,0.99066,1.2685
LOX,5,0.285,0.98769,0.65219
PAK3,X,0.286,0.98716,3.5336
IRS2,13,0.286,0.99032,2.5294
PHF3,6,0.286,0.99256,0.75532
PTPRZ1,7,0.286,0.98997,0.85252
IKZF2,2,0.286,0.98731,1.4003
REST,4,0.286,0.99186,0.78076
UBE2D2,5,0.286,0.96547,2.9599
ARRDC3,5,0.286,0.98715,1.866
DLG1,3,0.286,0.99393,1.4957
TMEM201,1,0.286,0.99004,1.3273
CTPS1,1,0.287,0.99259,3.693
MEF2A,15,0.287,0.98706,1.5438
MYO18A,17,0.287,0.98723,2.454
DDX3Y,Y,0.287,0.96494,2.1024
KCNJ4,22,0.287,0.9649,3.9687
DLGAP4,20,0.287,0.99248,2.7554
KIF3C,2,0.287,0.99153,2.3624
SYT2,1,0.287,0.98133,1.9784
UBE2I,16,0.287,0.96496,3.0962
TNRC18,7,0.287,0.99093,-0.26203
SIPA1L2,1,0.287,0.99215,1.4614
RC3H1,1,0.287,0.99309,2.7947
PITPNB,22,0.287,0.981,2.1545
ATP6V1B2,8,0.287,0.99154,2.4855
RAPGEF4,2,0.288,0.99218,1.8304
KLF12,13,0.288,0.98067,1.7942
TOP2A,17,0.288,0.99086,4.0418
SFRP1,8,0.288,0.96457,1.3107
LHX9,1,0.288,0.98062,1.076
FBXL3,13,0.288,0.9807,2.833
BAZ2B,2,0.288,0.98162,1.3314
EPB41L2,6,0.288,0.99318,0.68759
GK,X,0.288,0.98937,3.1858
FAM60A,12,0.288,0.96459,2.0772
FMNL2,2,0.288,0.9932,2.8574
ULK1,12,0.288,0.99318,1.0707
MLLT1,19,0.288,0.98669,2.69
NSDHL,X,0.289,0.96393,0.86892
RYK,3,0.289,0.98922,1.8088
CACNG8,19,0.289,0.9638,2.3372
CDC23,5,0.289,0.99175,2.7837
CXorf22,X,0.289,0.98906,0.10109
HNRNPF,10,0.289,0.96415,2.9359
C16orf72,16,0.289,0.98049,1.9479
CNTNAP5,2,0.289,0.99167,0.38792
DHX37,12,0.289,0.99252,1.8276
YWHAG,7,0.289,0.964,2.9513
ZBTB10,8,0.289,0.99067,2.0156
CMTR1,6,0.289,0.99252,3.3193
NRK,X,0.289,0.99274,0.66035
NF1,17,0.29,0.90175,6.5427
TFE3,X,0.29,0.97985,2.1546
PDPK1,16,0.29,0.98013,2.011
CDH2,18,0.29,0.99171,2.0934
DENND4B,1,0.29,0.99098,3.2312
IKBKB,8,0.29,0.99192,2.5876
UBE2E2,3,0.29,0.96378,2.2855
CYP26B1,2,0.29,0.97987,1.0492
AHCYL2,7,0.29,0.99127,2.7392
MAP7D1,1,0.29,0.99199,1.0007
FST,5,0.29,0.98014,2.3304
MCL1,1,0.29,0.96349,-0.36448
ARNT2,15,0.291,0.99142,1.9783
LDB1,10,0.291,0.98529,2.8113
DNAJC7,17,0.291,0.99007,2.5078
ZZEF1,17,0.291,0.83468,1.0464
SLC6A6,3,0.291,0.98987,3.3854
GMEB1,1,0.291,0.98549,2.3665
SLC40A1,2,0.291,0.98835,1.9225
GTF2H1,11,0.291,0.98982,1.7981
RAB3GAP2,1,0.291,0.98674,0.86814
AR,X,0.291,0.98837,1.2272
SRSF3,6,0.291,0.96323,3.0682
RCOR3,1,0.292,0.988,2.716
ZNF331,19,0.292,0.97927,2.0788
GNAZ,22,0.292,0.96272,3.3476
IGFBP5,2,0.292,0.96283,1.6325
FAM50A,X,0.292,0.97913,3.0177
RBM47,4,0.292,0.98493,2.5917
CREB3L1,11,0.292,0.98488,0.94937
PGD,1,0.292,0.98788,1.3963
UPF3B,X,0.292,0.98497,1.8439
DNAJC2,7,0.292,0.99102,1.5202
BEND4,4,0.292,0.98484,1.1002
GATA2,3,0.292,0.97927,2.0374
SPATA2,20,0.292,0.97889,0.67696
TUBB,6,0.292,0.97889,5.6252
TSPAN14,10,0.292,0.97908,2.211
RAI14,5,0.292,0.99122,1.6221
SCML1,X,0.292,0.96276,2.2678
PPM1E,17,0.293,0.98758,2.6637
DLX1,2,0.293,0.96232,1.8172
STIM2,4,0.293,0.9906,1.2516
PPEF1,X,0.293,0.9873,1.944
EEF1A1,6,0.293,0.97863,3.723
TRIM3,11,0.293,0.9893,3.706
STX1A,7,0.293,0.9785,2.3989
ARHGEF17,11,0.293,0.98445,0.74953
ERN1,17,0.293,0.99027,2.2663
FAM160A2,11,0.293,0.99023,1.1619
RPL9,4,0.293,0.96197,1.5897
SPEG,2,0.293,0.92315,2.7761
FBXO3,11,0.293,0.98916,2.149
SATB1,3,0.293,0.99051,3.9832
PPP2R2B,5,0.293,0.98467,2.2458
TERT,5,0.293,0.99046,4.8768
PRLR,5,0.293,0.98732,0.681
KAT2B,3,0.294,0.98975,2.242
MLXIP,12,0.294,0.98932,2.2469
AKAP13,15,0.294,0.92909,-1.6419
PHF21B,22,0.294,0.98689,0.64221
IL1RAPL2,X,0.294,0.98424,1.9994
ERC2,3,0.294,0.98931,2.2244
ZNRF3,22,0.294,0.98884,0.97519
ATP13A1,19,0.294,0.98939,2.6636
IKZF3,17,0.294,0.98416,2.1409
UVRAG,11,0.294,0.98942,1.4854
OPA1,3,0.294,0.98636,1.9741
MYO5A,15,0.295,0.944,3.0961
RBM20,10,0.295,0.98954,1.666
CDH8,16,0.295,0.98806,2.4198
KIAA1549,7,0.295,0.98607,-0.09231
LARGE,22,0.295,0.98934,1.9913
MAP4K1,19,0.295,0.98919,3.1295
RGS19,20,0.295,0.96134,1.0612
ATG5,6,0.295,0.97758,1.819
GOLGA2,9,0.295,0.98756,0.90253
HNRNPC,14,0.295,0.97772,2.8944
PURG,8,0.295,0.961,1.5482
RPS6KA6,X,0.295,0.9865,1.8679
KCNV1,8,0.295,0.97796,4.0679
SEC61A1,3,0.295,0.98675,4.0608
TSC22D4,7,0.296,0.96057,1.0025
STAT6,12,0.296,0.98849,2.4144
FBXO22,15,0.296,0.97746,0.83698
ELF3,1,0.296,0.98323,1.8816
NDEL1,17,0.296,0.98351,1.6579
PIGA,X,0.296,0.96072,2.1683
SH3PXD2A,10,0.296,0.98897,1.5586
PPAT,4,0.296,0.98606,3.0564
AP3D1,19,0.296,0.98648,1.9444
BCR,22,0.296,0.98761,0.88811
PLCB1,20,0.296,0.98337,3.8345
KCMF1,2,0.296,0.97719,2.6827
RPL11,1,0.296,0.96088,1.6907
SETX,9,0.296,0.95483,-0.11177
ZNF532,18,0.296,0.98896,2.676
ADD1,4,0.296,0.9883,0.80446
EFNA5,5,0.296,0.96051,1.5151
NUP188,9,0.297,0.95428,1.1238
SCAMP1,5,0.297,0.977,2.4181
SLC38A5,X,0.297,0.97676,2.4433
RTN4RL1,17,0.297,0.96024,1.4698
SYNPO,5,0.297,0.98573,0.93402
CSNK2A1,20,0.297,0.98711,3.7123
SEC62,3,0.297,0.98295,1.7834
C18orf8,18,0.297,0.98823,1.7379
CYP46A1,14,0.297,0.98552,2.9677
RTN1,14,0.297,0.98593,0.94952
HDAC8,X,0.297,0.97707,2.8212
TBX22,X,0.297,0.97704,-0.12605
LATS2,13,0.297,0.98807,2.2124
C2CD2L,11,0.297,0.98718,1.7789
PWWP2A,5,0.297,0.98292,2.3485
GDF11,12,0.298,0.97645,2.9794
PSMD14,2,0.298,0.97662,3.5655
HSF5,17,0.298,0.98254,2.5995
SEPHS1,10,0.298,0.97637,3.2396
DPP9,19,0.298,0.98708,2.6594
C7orf26,7,0.298,0.97647,-0.57195
H2AFY2,10,0.298,0.97635,2.9173
SF3A1,22,0.298,0.98752,4.1633
CALCRL,2,0.298,0.9853,2.0933
ARF4,3,0.298,0.95992,2.1058
CNBP,3,0.298,0.95994,2.3828
ZBTB34,9,0.298,0.97657,2.8131
CSMD3,8,0.299,0.057105,1.14
GON4L,1,0.299,0.9515,1.6468
SMG6,17,0.299,0.98164,0.1781
SRSF7,2,0.299,0.98203,2.7201
ETV3,1,0.299,0.97596,2.2975
KIAA1239,4,0.299,0.98388,4.7729
FAR1,11,0.299,0.98504,3.3033
SLC4A2,7,0.299,0.98521,2.9687
RTN4R,22,0.3,0.95882,1.1326
NRP1,10,0.3,0.98584,1.56
FOSB,19,0.3,0.97553,1.5526
REXO1,19,0.3,0.9864,-0.19765
RELL1,4,0.3,0.95869,1.1213
PTGER4,5,0.3,0.9755,2.2056
HP1BP3,1,0.3,0.98422,2.2142
MALT1,18,0.3,0.98651,2.8387
BAHD1,15,0.3,0.98547,1.308
PPP2R5B,11,0.3,0.98416,2.4612
AKAP11,13,0.3,0.97878,0.31287
EOMES,3,0.3,0.98443,0.86068
RRAGC,1,0.3,0.97538,2.4643
PSMB5,14,0.3,0.95893,1.0399
ANTXR1,2,0.3,0.98631,1.5204
SRF,6,0.3,0.97545,2.7891
REPS1,6,0.301,0.98506,1.6971
TOPAZ1,3,0.301,0.97746,1.902
SND1,7,0.301,0.98213,3.3937
ILKAP,2,0.301,0.98116,2.2097
DAG1,3,0.301,0.98117,0.62509
PIAS3,1,0.301,0.98499,1.0036
ZNF24,18,0.301,0.98114,2.0467
CCT7,2,0.301,0.98362,2.2579
CPEB4,5,0.301,0.98555,3.309
SKIL,3,0.301,0.98512,0.92818
DOCK4,7,0.301,0.82562,2.5162
ELL,19,0.301,0.98542,1.0345
KLHL29,2,0.301,0.98532,3.3962
CTC-432M15.3,5,0.301,0.96338,1.5452
GNAQ,9,0.302,0.98069,3.6575
IRX5,16,0.302,0.9747,0.83051
KIAA0922,4,0.302,0.95975,0.6931
SNX2,5,0.302,0.98462,0.59601
HSPA12A,10,0.302,0.98436,2.1216
CYFIP1,15,0.302,0.96816,2.6545
TWF2,3,0.302,0.98055,1.0805
MPRIP,17,0.302,0.98078,1.8097
FOXF1,16,0.302,0.95792,1.089
MAP3K3,17,0.302,0.98535,2.042
LPGAT1,1,0.302,0.98041,2.3913
FAM171A1,10,0.302,0.98528,0.43876
PRPF31,19,0.302,0.98313,3.0492
DYNC1LI2,16,0.302,0.98346,1.8932
ABHD17C,15,0.302,0.95762,3.1394
CHMP4B,20,0.302,0.95771,2.3781
NCAPG2,7,0.303,0.97764,1.9358
EGLN1,1,0.303,0.97403,2.1511
RS1,X,0.303,0.95743,0.96911
CS,12,0.303,0.98402,3.3323
UBQLN4,1,0.303,0.98252,2.8804
PCGF5,10,0.303,0.98007,2.3927
CSTF3,11,0.303,0.98279,4.9398
GGT7,20,0.303,0.98393,2.304
SEL1L,14,0.303,0.98233,2.4144
PRMT8,12,0.303,0.98023,3.4556
PDZRN3,3,0.303,0.98471,-0.0050632
SUCO,1,0.303,0.97455,1.0802
PPP2R1A,19,0.303,0.98389,4.4565
GAB2,11,0.304,0.98325,-0.62194
GLRA2,X,0.304,0.97334,2.7002
MID1,X,0.304,0.97967,2.9209
PSMB3,17,0.304,0.95656,1.5062
EEA1,12,0.304,0.92875,1.3779
MYO9A,15,0.304,0.48923,1.7401
MYT1,20,0.304,0.97791,2.5631
PPP6R1,19,0.304,0.98287,0.035369
SPRTN,1,0.304,0.97354,0.73867
TIAM1,21,0.304,0.95662,1.6982
WDFY4,10,0.304,0.34009,3.1236
GLTSCR1,19,0.304,0.98349,2.5398
PANK4,1,0.304,0.98325,2.4165
TLR7,X,0.305,0.97912,3.0132
MYH11,16,0.305,0.77299,1.4389
RAPGEF5,7,0.305,0.98099,1.6366
ANKRD50,4,0.305,0.9792,0.70472
BICD2,9,0.305,0.98272,2.205
FGF17,8,0.305,0.95609,1.8542
ANAPC1,2,0.305,0.94532,0.98694
RFC1,4,0.305,0.97305,1.3817
MET,7,0.305,0.96998,1.9172
ZNF711,X,0.305,0.97887,2.4017
SENP2,3,0.305,0.98262,1.8679
KIT,4,0.305,0.98087,2.5806
SMS,X,0.305,0.97297,2.3162
CDC34,19,0.305,0.95625,1.8321
C3,19,0.305,0.90421,2.7489
CNOT10,3,0.305,0.98194,1.781
ATXN1L,16,0.305,0.97897,1.081
NR6A1,9,0.305,0.98169,1.8258
KLHL10,17,0.306,0.97852,2.7236
VDAC1,5,0.306,0.97266,1.3262
LRRC4C,11,0.306,0.97233,2.5186
IGF1R,15,0.306,0.96799,2.7286
ITGB1,10,0.306,0.98208,3.4595
COL11A2,6,0.306,0.70197,2.3685
GABRB1,4,0.306,0.98116,2.6517
ADCY9,16,0.306,0.97943,1.2457
KCNQ5,6,0.306,0.98011,3.3177
INPP5D,2,0.306,0.97198,4.152
FOXP4,6,0.306,0.98242,1.9473
RP2,X,0.306,0.95597,0.63317
ACSL4,X,0.306,0.98103,2.5909
PARD3,10,0.306,0.95577,1.0399
SS18L1,20,0.306,0.98229,1.5663
INF2,14,0.307,0.97346,2.3077
KCNK9,8,0.307,0.95519,2.9038
SEMA3A,7,0.307,0.9779,1.7496
AGPAT1,6,0.307,0.97215,2.6081
HOXA13,7,0.307,0.9551,0.55847
TSHZ2,20,0.307,0.9814,0.60185
RPL8,8,0.307,0.95531,1.7478
TDRD5,1,0.307,0.97247,1.8968
DRD1,5,0.307,0.9555,2.2559
LYST,1,0.307,0.015026,1.4073
UNC80,2,0.307,0.052307,5.5319
NAF1,4,0.307,0.97793,-0.31017
PDE4A,19,0.307,0.98167,2.4163
MITF,3,0.308,0.98119,1.4684
CENPE,4,0.308,0.24146,1.2657
INPP5A,10,0.308,0.98121,1.7803
AHNAK,11,0.308,0.89827,-2.9677
ATL1,14,0.308,0.98109,2.6313
C16orf70,16,0.308,0.98056,1.597
SPDEF,6,0.308,0.97178,0.79669
NKTR,3,0.308,0.94032,1.3246
CLSTN1,1,0.308,0.97757,1.0231
SCN5A,3,0.308,0.91291,2.7504
GRIN1,9,0.309,0.97629,6.2157
HSPE1-MOB4,2,0.309,0.9709,2.7687
MCM6,2,0.309,0.97833,1.0681
SNPH,20,0.309,0.97082,1.5058
OTUB1,11,0.309,0.97107,2.195
RNF145,5,0.309,0.98031,3.5929
MTSS1L,16,0.309,0.97998,0.7435
RPS7,2,0.309,0.95439,1.6271
NAMPT,7,0.309,0.97914,2.9699
HIF1A,14,0.309,0.9777,2.2242
XAB2,19,0.309,0.97281,1.935
PTPRK,6,0.309,0.90291,3.1702
HNRNPH2,X,0.309,0.95448,3.6248
PCDHGC4,5,0.309,0.98025,1.9671
ATP5B,12,0.309,0.97679,3.1686
TBL1X,X,0.309,0.97946,2.4787
ZBTB17,1,0.309,0.97933,3.7316
GLI2,2,0.309,0.97303,0.8168
DCAF12L1,X,0.309,0.95405,2.4087
OSBPL9,1,0.309,0.97558,2.6559
CDC40,6,0.31,0.97944,2.6716
MAGEE1,X,0.31,0.97046,1.4379
NODAL,10,0.31,0.97028,0.97103
ABHD8,19,0.31,0.97027,1.7991
EIF2S1,14,0.31,0.97031,2.8612
EIF3F,11,0.31,0.97044,-0.10831
NLGN3,X,0.31,0.97641,4.206
PLK1,16,0.31,0.97851,2.5236
SLC12A2,5,0.31,0.96153,2.3971
NXF1,11,0.31,0.9763,2.6576
XK,X,0.31,0.95373,2.1242
FAM49B,8,0.31,0.97612,3.2108
SLC9A3,5,0.31,0.97845,2.4903
TOB1,17,0.31,0.95365,1.4524
ADAMTS2,5,0.311,0.9661,1.4291
EPS8,12,0.311,0.97308,0.81071
TCOF1,5,0.311,0.9541,0.33899
LAMA5,20,0.311,0.0064742,-0.27216
MDGA1,6,0.311,0.97574,2.5691
NNT,5,0.311,0.97271,2.0839
FOXC1,6,0.311,0.95337,0.34156
CAPRIN1,11,0.311,0.97247,1.6918
KIAA0355,19,0.311,0.97288,1.6381
FBXL16,16,0.311,0.96981,3.1417
FAM155A,13,0.311,0.97586,0.30716
WASF2,1,0.311,0.97567,1.7698
ZCCHC14,16,0.311,0.97852,0.81288
ZXDB,X,0.312,0.95266,0.9635
LRRTM3,10,0.312,0.97519,1.8803
SCRIB,8,0.312,0.92926,0.38071
SRGAP2,1,0.312,0.97679,3.1852
ANKFY1,17,0.312,0.95629,2.4638
NUCKS1,1,0.312,0.96937,2.0935
RUNX1T1,8,0.312,0.97768,2.1674
MAGEL2,15,0.312,0.97506,-0.56265
LRRC8D,1,0.312,0.97752,3.2017
COL27A1,9,0.312,0.5864,0.6291
PLCB3,11,0.312,0.93999,3.2651
FZD4,11,0.312,0.96962,0.73303
EGR3,8,0.312,0.95288,3.3765
SCD,10,0.312,0.96968,2.0381
CXorf56,X,0.313,0.95204,2.2384
SCUBE1,22,0.313,0.96076,1.9781
HLF,17,0.313,0.95215,2.2847
TBCEL,11,0.313,0.97472,2.7653
LIMCH1,4,0.313,0.94734,0.52339
PIP5K1C,19,0.313,0.97704,2.2925
CTNNA1,5,0.313,0.96962,3.6624
PTK2B,8,0.313,0.93536,1.5043
HIVEP3,1,0.313,0.90584,1.1744
VPS35,16,0.313,0.96921,3.5321
ZNF512,2,0.313,0.9765,2.4146
ARHGAP4,X,0.313,0.97693,0.68696
ABCE1,4,0.314,0.9738,4.1012
PTPRB,12,0.314,0.50207,1.6562
SEMA4D,9,0.314,0.97472,0.99698
DGKI,7,0.314,0.93134,3.0849
FBXO21,12,0.314,0.97537,2.7212
RNF41,12,0.314,0.96847,2.995
MCF2,X,0.314,0.9718,1.1015
FBXW11,5,0.314,0.97611,3.9567
CASC5,15,0.314,0.78348,-0.0081276
INTS8,8,0.314,0.9439,2.0305
SQLE,8,0.314,0.97594,1.1425
CNIH2,11,0.314,0.95171,2.2511
HSF2,6,0.315,0.97536,2.0685
PAN2,12,0.315,0.93596,3.1762
TAF1L,9,0.315,0.96182,-0.40251
TUBA1B,12,0.315,0.96767,5.412
FAM65A,16,0.315,0.949,1.6724
TUBB3,16,0.315,0.96761,4.5786
TBX20,7,0.315,0.97302,1.6816
PRDM11,11,0.315,0.97355,1.1258
HMGB2,4,0.315,0.95087,1.6115
MOB1A,2,0.315,0.95091,1.6476
KLC2,11,0.315,0.97506,2.0187
G2E3,14,0.315,0.97083,2.1342
CLSTN3,12,0.315,0.97016,1.4978
SPHKAP,2,0.315,0.93594,-0.75633
AKT1,14,0.315,0.9759,3.4778
NKX2-3,10,0.316,0.95047,0.80718
YPEL2,17,0.316,0.95044,1.8001
KBTBD6,13,0.316,0.97282,2.5847
RPL13,16,0.316,0.95062,-0.32157
CAPN15,16,0.316,0.96857,1.7722
ATXN1,6,0.316,0.97498,1.2511
EMX2,10,0.316,0.9507,1.5672
MGEA5,10,0.316,0.96569,2.9963
PATL1,11,0.316,0.964,2.4376
BRD3,9,0.316,0.97468,2.6358
IP6K2,3,0.316,0.973,2.6308
RASGEF1A,10,0.316,0.97444,2.6603
MDN1,6,0.316,2.1582e-08,2.0085
RAP1GAP2,17,0.316,0.96928,2.2279
USP5,12,0.316,0.96396,3.3619
ZBTB20,3,0.317,0.97382,4.272
ATG9A,2,0.317,0.97081,2.599
RPS6KB1,17,0.317,0.97285,3.9009
ANO8,19,0.317,0.95634,2.5036
TUBA1A,12,0.317,0.96654,5.584
VPS26B,11,0.317,0.9665,2.0188
RNF165,18,0.317,0.97194,1.9384
NUP62,19,0.317,0.95006,0.0062182
SLC32A1,20,0.317,0.96675,2.3023
ZEB1,10,0.317,0.96665,1.6042
TAF12,1,0.317,0.95008,1.2943
LRP1B,2,0.317,2.5267e-06,1.9279
TRIM41,5,0.317,0.97384,1.0066
DMTF1,7,0.317,0.96706,2.2024
KIRREL3,11,0.318,0.96992,2.3547
ETV6,12,0.318,0.9735,1.7817
PSEN1,14,0.318,0.97322,2.1558
TFDP1,13,0.318,0.97174,2.2834
JMY,5,0.318,0.96031,1.7085
NPAS4,11,0.318,0.97335,1.5236
PRKACA,19,0.318,0.97142,2.9714
RASGRP1,15,0.318,0.96554,2.7427
SLIT3,5,0.318,0.75233,1.9438
G6PD,X,0.318,0.97158,2.0008
STAU2,8,0.318,0.97269,1.4214
LRP6,12,0.318,0.69664,2.7541
